"time","2015-06-24","2015-06-25","2015-06-26","2016-01-21","2016-01-22"
2016-01-01 06:19:40,0,0,0,0,0
2016-01-01 06:33:42,0,0,2,0,0
2016-01-01 06:35:10,0,0,1,0,0
2016-01-01 06:40:15,0,0,2,0,0
2016-01-01 06:46:32,0,0,3,0,0
2016-01-01 06:50:49,0,0,4,0,0
2016-01-01 06:53:28,0,0,5,0,0
2016-01-01 06:53:59,0,0,4,0,0
2016-01-01 06:55:32,0,0,3,0,0
2016-01-01 06:57:14,0,1,3,0,0
2016-01-01 06:57:28,0,1,4,0,0
2016-01-01 06:58:37,0,1,3,0,0
2016-01-01 06:58:42,0,1,4,0,0
2016-01-01 06:59:33,0,1,5,0,0
2016-01-01 06:59:49,1,1,5,0,0
2016-01-01 06:59:50,2,1,5,0,0
2016-01-01 07:00:43,2,1,6,0,0
2016-01-01 07:02:00,2,1,5,0,0
2016-01-01 07:02:15,3,1,5,0,0
2016-01-01 07:02:57,3,1,5,1,0
2016-01-01 07:02:58,3,1,5,2,0
2016-01-01 07:03:01,3,1,5,3,0
2016-01-01 07:03:28,3,1,6,3,0
2016-01-01 07:03:39,2,1,6,3,0
2016-01-01 07:04:04,2,1,6,4,0
2016-01-01 07:04:38,2,1,5,4,0
2016-01-01 07:04:58,2,2,5,4,0
2016-01-01 07:05:15,2,2,6,4,0
2016-01-01 07:05:24,2,2,5,4,0
2016-01-01 07:05:35,2,2,5,3,0
2016-01-01 07:05:40,2,2,4,3,0
2016-01-01 07:06:32,2,2,4,4,0
2016-01-01 07:06:35,2,2,3,4,0
2016-01-01 07:06:58,2,2,4,4,0
2016-01-01 07:07:16,2,2,4,5,0
2016-01-01 07:07:29,2,2,3,5,0
2016-01-01 07:07:31,2,2,2,5,0
2016-01-01 07:07:33,2,2,2,6,0
2016-01-01 07:08:32,2,2,2,5,0
2016-01-01 07:09:02,2,2,2,6,0
2016-01-01 07:09:24,2,1,2,6,0
2016-01-01 07:09:28,2,1,2,5,0
2016-01-01 07:09:46,2,2,2,5,0
2016-01-01 07:10:29,2,2,2,6,0
2016-01-01 07:10:40,2,2,2,7,0
2016-01-01 07:10:46,2,2,2,6,0
2016-01-01 07:11:00,2,2,3,6,0
2016-01-01 07:11:25,2,2,4,6,0
2016-01-01 07:11:31,2,2,5,6,0
2016-01-01 07:12:00,3,2,5,6,0
2016-01-01 07:12:19,3,2,5,5,0
2016-01-01 07:12:38,3,2,4,5,0
2016-01-01 07:12:40,3,2,4,6,0
2016-01-01 07:12:46,3,2,4,7,0
2016-01-01 07:13:26,3,2,4,6,0
2016-01-01 07:14:59,3,2,4,7,0
2016-01-01 07:15:21,3,2,4,8,0
2016-01-01 07:15:23,3,2,4,9,0
2016-01-01 07:15:35,3,2,5,9,0
2016-01-01 07:15:52,3,2,6,9,0
2016-01-01 07:15:57,3,2,6,8,0
2016-01-01 07:16:24,2,2,6,8,0
2016-01-01 07:17:31,2,2,6,7,0
2016-01-01 07:17:52,2,2,5,7,0
2016-01-01 07:18:05,3,2,5,7,0
2016-01-01 07:19:11,3,2,4,7,0
2016-01-01 07:19:29,2,2,4,7,0
2016-01-01 07:19:36,2,2,4,8,0
2016-01-01 07:19:45,2,2,4,9,0
2016-01-01 07:20:27,2,2,4,8,0
2016-01-01 07:20:30,2,2,4,7,0
2016-01-01 07:20:34,2,2,4,6,0
2016-01-01 07:20:54,2,2,3,6,0
2016-01-01 07:21:40,2,2,4,6,0
2016-01-01 07:21:43,3,2,4,6,0
2016-01-01 07:22:09,3,2,5,6,0
2016-01-01 07:22:16,3,2,5,7,0
2016-01-01 07:22:32,3,2,5,8,0
2016-01-01 07:22:52,3,2,5,7,0
2016-01-01 07:23:00,3,2,5,6,0
2016-01-01 07:23:01,3,2,5,7,0
2016-01-01 07:23:29,3,2,5,6,0
2016-01-01 07:23:46,3,2,4,6,0
2016-01-01 07:23:50,3,2,5,6,0
2016-01-01 07:23:55,3,3,5,6,0
2016-01-01 07:23:59,3,3,6,6,0
2016-01-01 07:24:00,3,4,6,6,0
2016-01-01 07:24:19,3,4,5,6,0
2016-01-01 07:25:00,3,4,6,6,0
2016-01-01 07:25:52,3,4,5,6,0
2016-01-01 07:26:18,3,4,4,6,0
2016-01-01 07:26:24,3,3,4,6,0
2016-01-01 07:26:30,3,3,4,7,0
2016-01-01 07:27:28,3,4,4,7,0
2016-01-01 07:27:58,3,4,4,6,0
2016-01-01 07:28:24,2,4,4,6,0
2016-01-01 07:28:47,2,4,4,7,0
2016-01-01 07:29:01,2,4,4,8,0
2016-01-01 07:29:22,2,4,4,9,0
2016-01-01 07:29:28,2,4,4,10,0
2016-01-01 07:29:43,2,4,3,10,0
2016-01-01 07:30:26,2,4,3,11,0
2016-01-01 07:30:31,2,4,3,10,0
2016-01-01 07:30:56,2,4,3,11,0
2016-01-01 07:31:25,3,4,3,11,0
2016-01-01 07:31:27,3,4,3,12,0
2016-01-01 07:31:38,3,4,3,11,0
2016-01-01 07:32:03,3,4,4,11,0
2016-01-01 07:32:24,2,4,4,11,0
2016-01-01 07:33:16,2,4,4,10,0
2016-01-01 07:33:38,2,4,4,10,1
2016-01-01 07:33:47,2,4,4,9,1
2016-01-01 07:33:49,2,4,4,10,1
2016-01-01 07:33:57,2,4,4,11,1
2016-01-01 07:34:24,2,3,4,11,1
2016-01-01 07:34:30,2,3,4,12,1
2016-01-01 07:34:42,2,3,4,11,1
2016-01-01 07:35:27,2,3,4,11,2
2016-01-01 07:35:30,2,3,4,11,1
2016-01-01 07:36:08,2,3,4,11,2
2016-01-01 07:36:24,2,3,3,11,2
2016-01-01 07:36:40,2,3,3,10,2
2016-01-01 07:36:44,2,3,3,9,2
2016-01-01 07:36:53,2,3,3,9,1
2016-01-01 07:36:56,2,3,3,10,1
2016-01-01 07:36:57,3,3,3,10,1
2016-01-01 07:37:04,4,3,3,10,1
2016-01-01 07:37:19,4,3,3,11,1
2016-01-01 07:38:14,4,3,3,12,1
2016-01-01 07:38:17,4,3,3,11,1
2016-01-01 07:38:24,4,3,3,11,2
2016-01-01 07:39:00,4,3,3,10,2
2016-01-01 07:39:12,5,3,3,10,2
2016-01-01 07:39:14,5,3,3,9,2
2016-01-01 07:39:17,6,3,3,9,2
