retailerID,retailer, location, type, worktime, branches, link
1,Ajisen Ramen and Osaka Ohsho,04-19/20,Dining,10 AM to 10 PM,23,http://www.streetdirectory.com/ajisenjapanese/
2,ALDO, 01-08/09,Fashion,10 AM to 10 PM,14,http://www.streetdirectory.com/aldo/
3,Arena, 02-11,Fashion,10 AM to 10 PM,5,http://www.streetdirectory.com/arena/
4,Artary, 05-05,Lifestyle,10 AM to 10 PM,,http://www.streetdirectory.com/artary/
5,ArtBox, 03-18,Lifestyle,10 AM to 10 PM,8,http://www.streetdirectory.com/artboxsingapore/
6,Avenue Kids, 03-02,Fashion,10 AM to 10 PM,8,http://www.streetdirectory.com/avenuekids/
7,BBQ Express,B1-K19,Dining,10 AM to 10 PM,,
8,Beauty Language,B1-23A,Lifestyle,10 AM to 10 PM,17,http://www.streetdirectory.com/beautylanguage/
9,Bee Cheng Hiang,B1-14,Dining,10 AM to 10 PM,40,http://www.streetdirectory.com/beecheng/
10,Bengawan Solo,B1-15,Dining,10 AM to 10 PM,50,http://www.streetdirectory.com/bengawan/
11,Better Vision, 02-30,Fashion,10 AM to 10 PM,13,http://www.streetdirectory.com/bettervision/
12,BOBBI BROWN, 01-28,Lifestyle,10 AM to 10 PM,,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=209547&branchid=242754
13,Bossini,02-06/07/08,Fashion,10 AM to 10 PM,17,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=156322&branchid=18030
14,BOX STREET, 04-05,Lifestyle,10 AM to 10 PM,,
15,BreadTalk,B1-K7,Dining,10 AM to 10 PM,47,http://www.streetdirectory.com/breadtalk-singapore/
16,BURGER KING, 01-47,Dining,10 AM to 10 PM,47,http://www.streetdirectory.com/burgerking/
17,Camouflage,  03-03,Fashion,10 AM to 10 PM,5,http://www.streetdirectory.com/camouflage/
18,Capitol Optical, 02-03,Fashion,10 AM to 10 PM,28,http://www.streetdirectory.com/capitoloptical/
19,Challenger, 04-06/07,Digital,10 AM to 10 PM,32,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=14498&branchid=127270
20,CHARLES & KEITH,01-13/14,Fashion,10 AM to 10 PM,33,http://www.streetdirectory.com/charlesnkeith/
21,CITIGEMS, 01-22,Fashion,10 AM to 10 PM,21,http://www.streetdirectory.com/citigems/
22,City Chain, 01-34,Fashion,10 AM to 10 PM,40,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=19463&branchid=30336
23,Coffee & Toast, 01-45,Dining,10 AM to 10 PM,2,http://www.streetdirectory.com/coffeeandtoast/
24,Complete Auto Restoration Services,B2-K2,Services,10 AM to 10 PM,2,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=20636&branchid=61748
25,Confucius Mandarin, 05-02,Lifestyle,10 AM to 10 PM,7,http://www.streetdirectory.com/confuciusmandarin/
26,Converse, 02-22,Fashion,10 AM to 10 PM,11,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=167920&branchid=246330
27,Cotton On,02-18B,Fashion,10 AM to 10 PM,37,http://www.streetdirectory.com/cottonon/
28,Cotton On Kids,02-18A,Fashion,10 AM to 10 PM,,
29,COURTS,03-16A/16,Digital,10 AM to 10 PM,,
30,Crabtree & Evelyn,01-31A,Lifestyle,10 AM to 10 PM,12,http://www.streetdirectory.com/crabtree/
31,Crocs, 01-17,Fashion,10 AM to 10 PM,14,http://www.streetdirectory.com/crocs/
32,Crystal Jade Kitchen,B1-11,Dining,10 AM to 10 PM,29,http://www.streetdirectory.com/crystal-jade-kitchen/
33,DBS Bank,01-42/43/44,Services,10 AM to 10 PM,468,http://www.streetdirectory.com/DBS/
34,Delifrance, 01-38,Dining,10 AM to 10 PM,99,http://www.streetdirectory.com/delifrance/
35,dENiZEN,01-31B,Fashion,10 AM to 10 PM,10,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=209541&branchid=247805
36,Din Tai Fung, 02-01/31,Dining,10 AM to 10 PM,20,http://www.streetdirectory.com/din-tai-fung-singapore/
37,D'Style, 04-03,Fashion,10 AM to 10 PM,,
38,EC House, 03-09,Lifestyle,10 AM to 10 PM,18,http://www.streetdirectory.com/echouse/
39,Estetica,B1-04,Lifestyle,10 AM to 10 PM,9,http://www.streetdirectory.com/estetica/
40,Eu Yan Sang,B1-17,Lifestyle,10 AM to 10 PM,45,http://www.streetdirectory.com/eu-yan-sang/
41,Express,B1-K22,Dining,10 AM to 10 PM,,
42,Famous Amos,B1-K15,Dining,10 AM to 10 PM,21,http://www.streetdirectory.com/famousamos/
43,Fei Siong,B1-K9,Dining,10 AM to 10 PM,8,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=156464&branchid=242754
44,FotoHub,B1-24,Services,10 AM to 10 PM,16,http://www.streetdirectory.com/fotohub/
45,Four Leaves,B1-22,Dining,10 AM to 10 PM,33,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=32606&branchid=124082
46,Four Seasons Durians,B1-K8,Dining,10 AM to 10 PM,5,http://www.streetdirectory.com/four-seasons-durians/
47,Game Xtreme, 04-10/11,Lifestyle,10 AM to 10 PM,,
48,Ge!ato,B1-K16,Dining,10 AM to 10 PM,6,http://www.streetdirectory.com/gelato/
49,Giordano, 02-04/05,Fashion,10 AM to 10 PM,67,http://www.streetdirectory.com/giordano/
50,GNC Live Well,B1-06,Lifestyle,10 AM to 10 PM,,
51,Golden Village,04-17/18,Lifestyle,10 AM to 10 PM,13,http://www.streetdirectory.com/goldenvillage/
52,Goldheart,01-23/24,Fashion,10 AM to 10 PM,27,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=156726&branchid=168936
53,Gong Cha,B1-K5,Dining,10 AM to 10 PM,63,http://www.streetdirectory.com/gong-cha/
54,Guardian,B1-18/19,Lifestyle,10 AM to 10 PM,111,http://www.streetdirectory.com/guardian/
55,H&M,02-25/26,Fashion,10 AM to 10 PM,,
56,Hagen Dazs,02-K3,Dining,10 AM to 10 PM,,
57,Hair Mechanics, 03-07/08,Lifestyle,10 AM to 10 PM,3,http://www.streetdirectory.com/hairmechanics/
58,Helen, 01-12,Fashion,10 AM to 10 PM,21,http://www.streetdirectory.com/helen/
59,Ho Kee Pau,B1-K10,Dining,10 AM to 10 PM,10,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=162790&branchid=93455
60,HOCKHUA TONIC,B1-13/13A,Lifestyle,10 AM to 10 PM,60,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=150934&branchid=18742
61,Hush Puppies,02-20/21,Fashion,10 AM to 10 PM,30,http://www.streetdirectory.com/hushpuppies/
62,Inlinex, 04-08,Lifestyle,10 AM to 10 PM,2,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=160028&branchid=55039
63,Innisfree,01-35/36/37,Lifestyle,10 AM to 10 PM,3,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=215997&branchid=30314
64,Isetan, 01-21,Lifestyle,10 AM to 10 PM,8,http://www.streetdirectory.com/isetan/
