date,plate,park_location,service,arrival_time,start_handling_time,stop_handling_time,exit_time,qtime,htime,extime,dtime,loading,del_pick,del_size,pick_size,refrigerated,vehicle_type,vehicle_model,no_workers,side_company,side_postal,commodity_type,commodity_extra,number_stores,store_name1,store_floor1,store_number1,store_type1,opening1,no_branches1,link1,store_name2,store_floor2,store_number2,store_type2,opening2,no_branches2,link2,store_name3,store_floor3,store_number3,store_type3,opening3,no_branches3,link3,store_name4,store_floor4,store_number4,store_type4,opening4,no_branches4,link4,logo,employer,employer_type,reloads,stops,origin,origin_extra,morning_load,erp,start_work,stop_work,gas_refills,flex,flex_extra
24/06/15,YK545H,NA,people,24/06/15 06:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OpenLightTrucks,NISSAN CABSTAR,NA,NA,NA,service_trash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM33246,street,GV,24/06/15 06:59,24/06/15 07:01,24/06/15 08:30,24/06/15 08:30,2,89,0,91,1,1,5,0,Y,HeavyTrucks,NA,1,WLNA WAREHOUSE LOGISTICS ASIA,NA,fresh_frozen_food,FRUIT/FOOD,NA,Cold Storage,B1,Nov-16, supermarket, 8am to 10.30pm,59,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=119735&branchid=138255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COLD STORAGE,Cold storage",WLNA,TRANSPORTATION/LOGISTICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GY1423S,LB,GV,24/06/15 06:59,24/06/15 07:00,24/06/15 07:15,24/06/15 07:15,1,15,0,16,2,1,1,0,N,OpenLightTrucks,TOYOTA DYNA,1,SING PO TRADING,670258,fresh_frozen_food,VEGETABLES,NA,Kopitiam,B2,10, food_restaurants, 7am to 10pm,77,http://www.kopitiam.biz/search-results/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SING PO TRADING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GY5078J,street,GV,24/06/15 07:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,PC1295D,NA,GV,24/06/15 07:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBC7059X,NA,GV,24/06/15 07:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,MITSUBISHI-FUSO CANTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,SJK8747A,NA,GV,24/06/15 07:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GT2236K,NA,GV,24/06/15 07:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GT9291D,NA,GV,24/06/15 07:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OpenLightTrucks,NISSAN CABSTAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GR2775G,street,GV,24/06/15 07:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,Mitsubishi MINICAB-MiEV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM9514K,NA,GV,24/06/15 07:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LLMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM2210H,LB,GV,24/06/15 07:21,24/06/15 07:22,24/06/15 07:31,24/06/15 07:31,1,9,0,10,3,1,1,0,NA,OpenLightTrucks,TOYOTA DYNA,1,CHICKEN EGG,NA,fresh_frozen_food,FRESH EGGS,NA,Kopitiam,B2,10, food_restaurants, 7am to 10pm,77,http://www.kopitiam.biz/search-results/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MH NG WAH HONG ENTERPRISES PTE LTD 64871491,NA,SUPPLIER,1,"30,35",LIM CHU KANG,NA,4,Y,06:30:00,18:30:00,NA,N,MUST ALWAYS BE THE SAME OR WILL BE MESSY
