"district","name","open_close","type","address","floor_area","no_stores_mallwebsite","store_directory","no_stores_streetdirectory","streetdirectory","notes","lon","lat"
"Central","313@Somerset","open","mall","313 Orchard Rd, 238895",NA,136,"http://www.313somerset.com.sg/store-directory/az-directory",215,"http://www.streetdirectory.com/sg/313somerset/313-orchard-road-238895/44799_144263.html",NA,103.8385606,1.3012586
"Central","Bugis Cube","open","mall","470, North Bridge Rd, Singapore 408936",5574,35,"http://bugiscube.com.sg/discover.html",54,"http://www.streetdirectory.com/sg/bugis-cube/470-north-bridge-road-188735/8149_13729.html",NA,103.8555266,1.2980966
"Central","Bugis Junction","open","mall","200 Victoria St, Singapore 188021",NA,233,"http://www.bugisjunction-mall.com.sg/en/store-locator-list/",309,"http://www.streetdirectory.com/sg/bugis-junction/200-victoria-street-188021/983_13072.html",NA,103.8556033,1.2996125
"Central","Bugis plus","open","mall","201 Victoria Street, Singapore 188067",18052,94,"http://www.bugisplus.com.sg/en/store-locator-list/",80,"http://www.streetdirectory.com/sg/bugis/201-victoria-street-188067/44833_144264.html",NA,103.8543046,1.2995969
"Central","Clarke Quay Central","open","mall","6 Eu Tong Sen Street, Singapore 059817",18638,163,"http://www.clarkequaycentral.com.sg/home/index.aspx?key=directory",190,"http://www.streetdirectory.com/sg/the-central/6-eu-tong-sen-street-059817/32407_2642.html",NA,103.8466651,1.2891106
"Central","The Centrepoint","open","mall","176 Orchard Rd, Singapore 238843",53563,90,"http://thecentrepoint.fraserscentrepointmalls.com/store.php?Mode=Category&CategoryID=594",216,"http://www.streetdirectory.com/sg/the-centrepoint/176-orchard-road-238843/11787_22941.html",NA,103.8398259,1.3019817
"Central","City Square Mall","open","mall","180 Kitchener Rd, Singapore 208539",4552,186,"http://citysquaremall.com.sg/shops-alphabet.php",364,"http://www.streetdirectory.com/sg/city-square-mall/180-kitchener-road-208539/35548_144734.html",NA,103.8566714,1.3114946
"Central","Great World City","open","mall","1 Kim Seng Promenade, Great World City, Singapore 237994",51609,168,"http://www.greatworldcity.com.sg/shop-directory/shop-directory-list-view/",413,"http://www.streetdirectory.com/sg/great-world-city/1-kim-seng-promenade-237994/3248_22246.html",NA,103.832088,1.293984
"Central","Holland Village Shopping Mall","open","mall","3-7 Lorong Liput, Singapore 277725",NA,30,"http://www.holland-village-singapore.com/holland-v-shopping-mall/",0,"http://www.streetdirectory.com/sg/holland-road-shopping-centre/211-holland-avenue-278967/3807_33364.html",NA,103.7952451,1.3107138
"Central","ION Orchard","open","mall","2 Orchard Turn, Singapore 238801",87487,319,"http://www.ionorchard.com/en/store.html?view=category",411,"http://www.streetdirectory.com/sg/ion-orchard/2-orchard-turn-238801/33501_144258.html",NA,103.8319412,1.3038952
"Central","Liang Court","open","mall","177 River Valley Rd, Singapore 179030",23656,94,"http://www.liangcourt.com.sg/stores/",152,"http://www.streetdirectory.com/sg/liang-court/177-river-valley-road-179030/5077_12874.html",NA,103.8446088,1.2915315
"Central","Marina Bay Sands","open","mall","10 Bayfront Ave, Singapore 018956",NA,200,"https://www.marinabaysands.com/shopping/store-directory.html",71,"http://www.streetdirectory.com/sg/marina-bay-sands/10-bayfront-avenue-018956/29884_146276.html","Resort+Casino+Hotel+Theatre",103.8600328,1.2826023
"Central","Mustafa Shopping Centre","open","dep_store","145 Syed Alwi Road, Singapore 207704",37161,NA,"http://www.mustafa.com.sg/",6,"http://www.streetdirectory.com/sg/mustafa-centre/145-syed-alwi-road-207704/5979_16286.html","Department Store",103.8551362,1.3102388
